X,Y
290.00,436.00
291.00,437.40
292.00,438.80
293.00,440.20
294.00,441.60
295.00,443.00
296.00,444.40
297.00,445.80
298.00,447.20
299.00,448.60
300.00,450.00
301.00,451.40
302.00,452.80
303.00,454.20
304.00,455.60
305.00,457.00
306.00,458.40
307.00,459.80
308.00,461.20
309.00,462.60
310.00,464.00
311.00,465.40
312.00,466.80
313.00,468.20
314.00,469.60
315.00,471.00
316.00,472.40
317.00,473.80
318.00,475.20
319.00,476.60
320.00,478.00
321.00,479.40
322.00,480.80
323.00,482.20
324.00,483.60
325.00,485.00
326.00,486.40
327.00,487.80
328.00,489.20
329.00,490.60
330.00,492.00
331.00,493.40
332.00,494.80
333.00,496.20
334.00,497.60
335.00,499.00
336.00,500.40
337.00,501.80
338.00,503.20
339.00,504.60
340.00,506.00
341.00,507.40
342.00,508.80
343.00,510.20
344.00,511.60
345.00,513.00
346.00,514.40
347.00,515.80
348.00,517.20
349.00,518.60
350.00,520.00
351.00,521.40
352.00,522.80
353.00,524.20
354.00,525.60
355.00,527.00
356.00,528.40
357.00,529.80
358.00,531.20
359.00,532.60
360.00,534.00
361.00,535.40
362.00,536.80
363.00,538.20
364.00,539.60
365.00,541.00
366.00,542.40
367.00,543.80
368.00,545.20
369.00,546.60
370.00,548.00
371.00,549.40
372.00,550.80
373.00,552.20
374.00,553.60
375.00,555.00
376.00,556.40
377.00,557.80
378.00,559.20
379.00,560.60
380.00,562.00
381.00,563.40
382.00,564.80
383.00,566.20
384.00,567.60
385.00,569.00
386.00,570.40
387.00,571.80
388.00,573.20
389.00,574.60
390.00,576.00
391.00,577.40
392.00,578.80
393.00,580.20
394.00,581.60
395.00,583.00
396.00,584.40
397.00,585.80
398.00,587.20
399.00,588.60
400.00,590.00
401.00,591.40
402.00,592.80
403.00,594.20
404.00,595.60
405.00,597.00
406.00,598.40
407.00,599.80
408.00,601.20
409.00,602.60
410.00,604.00
411.00,605.40
412.00,606.80
413.00,608.20
414.00,609.60
415.00,611.00
416.00,612.40
417.00,613.80
418.00,615.20
419.00,616.60
420.00,618.00
421.00,619.40
422.00,620.80
423.00,622.20
424.00,623.60
425.00,625.00
426.00,626.40
427.00,627.80
428.00,629.20
429.00,630.60
430.00,632.00
431.00,633.40
432.00,634.80
433.00,636.20
434.00,637.60
435.00,639.00
436.00,640.40
437.00,641.80
438.00,643.20
439.00,644.60
440.00,646.00
441.00,647.40
442.00,648.80
443.00,650.20
444.00,651.60
445.00,653.00
446.00,654.40
447.00,655.80
448.00,657.20
449.00,658.60
450.00,660.00
451.00,661.40
452.00,662.80
453.00,664.20
454.00,665.60
455.00,667.00
456.00,668.40
457.00,669.80
458.00,671.20
459.00,672.60
460.00,674.00
461.00,675.40
462.00,676.80
463.00,678.20
464.00,679.60
465.00,681.00
466.00,682.40
467.00,683.80
468.00,685.20
469.00,686.60
470.00,688.00
471.00,689.40
472.00,690.80
473.00,692.20
474.00,693.60
475.00,695.00
476.00,696.40
477.00,697.80
478.00,699.20
479.00,700.60
480.00,702.00
481.00,703.40
482.00,704.80
483.00,706.20
484.00,707.60
485.00,709.00
486.00,710.40
487.00,711.80
488.00,713.20
489.00,714.60
490.00,716.00
491.00,717.40
492.00,718.80
493.00,720.20
494.00,721.60
495.00,723.00
496.00,724.40
497.00,725.80
498.00,727.20
499.00,728.60
500.00,730.00
501.00,731.40
502.00,732.80
503.00,734.20
504.00,735.60
505.00,737.00
506.00,738.40
507.00,739.80
508.00,741.20
509.00,742.60
510.00,744.00
511.00,745.40
512.00,746.80
513.00,748.20
514.00,749.60
515.00,751.00
516.00,752.40
517.00,753.80
518.00,755.20
519.00,756.60
520.00,758.00
521.00,759.40
522.00,760.80
523.00,762.20
524.00,763.60
525.00,765.00
526.00,766.40
527.00,767.80
528.00,769.20
529.00,770.60
530.00,772.00
531.00,773.40
532.00,774.80
533.00,776.20
534.00,777.60
535.00,779.00
536.00,780.40
537.00,781.80
538.00,783.20
539.00,784.60
540.00,786.00
541.00,787.40
542.00,788.80
543.00,790.20
544.00,791.60
545.00,793.00
546.00,794.40
547.00,795.80
548.00,797.20
549.00,798.60
550.00,800.00
551.00,801.40
552.00,802.80
553.00,804.20
554.00,805.60
555.00,807.00
556.00,808.40
557.00,809.80
558.00,811.20
559.00,812.60
560.00,814.00
561.00,815.40
562.00,816.80
563.00,818.20
564.00,819.60
565.00,821.00
566.00,822.40
567.00,823.80
568.00,825.20
569.00,826.60
570.00,828.00
571.00,829.40
572.00,830.80
573.00,832.20
574.00,833.60
575.00,835.00
576.00,836.40
577.00,837.80
578.00,839.20
579.00,840.60
580.00,842.00
581.00,843.40
582.00,844.80
583.00,846.20
584.00,847.60
585.00,849.00
586.00,850.40
587.00,851.80
588.00,853.20
589.00,854.60
590.00,856.00
591.00,857.40
592.00,858.80
593.00,860.20
594.00,861.60
595.00,863.00
596.00,864.40
597.00,865.80
598.00,867.20
599.00,868.60
600.00,870.00
601.00,871.40
602.00,872.80
603.00,874.20
604.00,875.60
605.00,877.00
606.00,878.40
607.00,879.80
608.00,881.20
609.00,882.60
610.00,884.00
611.00,885.40
612.00,886.80
613.00,888.20
614.00,889.60
615.00,891.00
616.00,892.40
617.00,893.80
618.00,895.20
619.00,896.60
620.00,898.00
621.00,899.40
622.00,900.80
623.00,902.20
624.00,903.60
625.00,905.00
626.00,906.40
627.00,907.80
628.00,909.20
629.00,910.60
630.00,912.00
631.00,913.40
632.00,914.80
633.00,916.20
634.00,917.60
635.00,919.00
636.00,920.40
637.00,921.80
638.00,923.20
639.00,924.60
640.00,926.00
641.00,927.40
642.00,928.80
643.00,930.20
644.00,931.60
645.00,933.00
646.00,934.40
647.00,935.80
648.00,937.20
649.00,938.60
650.00,940.00
651.00,941.40
652.00,942.80
653.00,944.20
654.00,945.60
655.00,947.00
656.00,948.40
657.00,949.80
658.00,951.20
659.00,952.60
660.00,954.00
661.00,955.40
662.00,956.80
663.00,958.20
664.00,959.60
665.00,961.00
666.00,962.40
667.00,963.80
668.00,965.20
669.00,966.60
670.00,968.00
671.00,969.40
672.00,970.80
673.00,972.20
674.00,973.60
675.00,975.00
676.00,976.40
677.00,977.80
678.00,979.20
679.00,980.60
680.00,982.00
681.00,983.40
682.00,984.80
683.00,986.20
684.00,987.60
685.00,989.00
686.00,990.40
687.00,991.80
688.00,993.20
689.00,994.60
690.00,996.00
691.00,997.40
692.00,998.80
693.00,1000.20
694.00,1001.60
695.00,1003.00
696.00,1004.40
697.00,1005.80
698.00,1007.20
699.00,1008.60
700.00,1010.00
701.00,1011.40
702.00,1012.80
703.00,1014.20
704.00,1015.60
705.00,1017.00
706.00,1018.40
707.00,1019.80
708.00,1021.20
709.00,1022.60
710.00,1024.00
711.00,1025.40
712.00,1026.80
713.00,1028.20
714.00,1029.60
715.00,1031.00
716.00,1032.40
717.00,1033.80
718.00,1035.20
719.00,1036.60
720.00,1038.00
721.00,1039.40
722.00,1040.80
723.00,1042.20
724.00,1043.60
725.00,1045.00
726.00,1046.40
727.00,1047.80
728.00,1049.20
729.00,1050.60
730.00,1052.00
731.00,1053.40
732.00,1054.80
733.00,1056.20
734.00,1057.60
735.00,1059.00
736.00,1060.40
737.00,1061.80
738.00,1063.20
739.00,1064.60
740.00,1066.00
741.00,1067.40
742.00,1068.80
743.00,1070.20
744.00,1071.60
745.00,1073.00
746.00,1074.40
747.00,1075.80
748.00,1077.20
749.00,1078.60
750.00,1080.00
751.00,1081.40
752.00,1082.80
753.00,1084.20
754.00,1085.60
755.00,1087.00
756.00,1088.40
757.00,1089.80
758.00,1091.20
759.00,1092.60
760.00,1094.00
761.00,1095.40
762.00,1096.80
763.00,1098.20
764.00,1099.60
765.00,1101.00
766.00,1102.40
767.00,1103.80
768.00,1105.20
769.00,1106.60
770.00,1108.00
771.00,1109.40
772.00,1110.80
773.00,1112.20
774.00,1113.60
775.00,1115.00
776.00,1116.40
777.00,1117.80
778.00,1119.20
779.00,1120.60
780.00,1122.00
781.00,1123.40
782.00,1124.80
783.00,1126.20
784.00,1127.60
785.00,1129.00
786.00,1130.40
787.00,1131.80
788.00,1133.20
789.00,1134.60
790.00,1136.00
791.00,1137.40
792.00,1138.80
793.00,1140.20
794.00,1141.60
795.00,1143.00
796.00,1144.40
797.00,1145.80
798.00,1147.20
799.00,1148.60
800.00,1150.00
801.00,1151.40
802.00,1152.80
803.00,1154.20
804.00,1155.60
805.00,1157.00
806.00,1158.40
807.00,1159.80
808.00,1161.20
809.00,1162.60
810.00,1164.00
811.00,1165.40
812.00,1166.80
813.00,1168.20
814.00,1169.60
815.00,1171.00
816.00,1172.40
817.00,1173.80
818.00,1175.20
819.00,1176.60
820.00,1178.00
821.00,1179.40
822.00,1180.80
823.00,1182.20
824.00,1183.60
825.00,1185.00
826.00,1186.40
827.00,1187.80
828.00,1189.20
829.00,1190.60
830.00,1192.00
831.00,1193.40
832.00,1194.80
833.00,1196.20
834.00,1197.60
835.00,1199.00
836.00,1200.40
837.00,1201.80
838.00,1203.20
839.00,1204.60
840.00,1206.00
841.00,1207.40
842.00,1208.80
843.00,1210.20
844.00,1211.60
845.00,1213.00
846.00,1214.40
847.00,1215.80
848.00,1217.20
849.00,1218.60
850.00,1220.00
851.00,1221.40
852.00,1222.80
853.00,1224.20
854.00,1225.60
855.00,1227.00
856.00,1228.40
857.00,1229.80
858.00,1231.20
859.00,1232.60
860.00,1234.00
861.00,1235.40
862.00,1236.80
863.00,1238.20
864.00,1239.60
865.00,1241.00
866.00,1242.40
867.00,1243.80
868.00,1245.20
869.00,1246.60
870.00,1248.00
871.00,1249.40
872.00,1250.80
873.00,1252.20
874.00,1253.60
875.00,1255.00
876.00,1256.40
877.00,1257.80
878.00,1259.20
879.00,1260.60
880.00,1262.00
881.00,1263.40
882.00,1264.80
883.00,1266.20
884.00,1267.60
885.00,1269.00
886.00,1270.40
887.00,1271.80
888.00,1273.20
889.00,1274.60
890.00,1276.00
891.00,1277.40
892.00,1278.80
893.00,1280.20
894.00,1281.60
895.00,1283.00
896.00,1284.40
897.00,1285.80
898.00,1287.20
899.00,1288.60
900.00,1290.00
901.00,1291.40
902.00,1292.80
903.00,1294.20
904.00,1295.60
905.00,1297.00
906.00,1298.40
907.00,1299.80
908.00,1301.20
909.00,1302.60
910.00,1304.00
911.00,1305.40
912.00,1306.80
913.00,1308.20
914.00,1309.60
915.00,1311.00
916.00,1312.40
917.00,1313.80
918.00,1315.20
919.00,1316.60
920.00,1318.00
921.00,1319.40
922.00,1320.80
923.00,1322.20
924.00,1323.60
925.00,1325.00
926.00,1326.40
927.00,1327.80
928.00,1329.20
929.00,1330.60
930.00,1332.00
931.00,1333.40
932.00,1334.80
933.00,1336.20
934.00,1337.60
935.00,1339.00
936.00,1340.40
937.00,1341.80
938.00,1343.20
939.00,1344.60
940.00,1346.00
941.00,1347.40
942.00,1348.80
943.00,1350.20
944.00,1351.60
945.00,1353.00
946.00,1354.40
947.00,1355.80
948.00,1357.20
949.00,1358.60
950.00,1360.00
951.00,1361.40
952.00,1362.80
953.00,1364.20
954.00,1365.60
955.00,1367.00
956.00,1368.40
957.00,1369.80
958.00,1371.20
959.00,1372.60
960.00,1374.00
961.00,1375.40
962.00,1376.80
963.00,1378.20
964.00,1379.60
965.00,1381.00
966.00,1382.40
967.00,1383.80
968.00,1385.20
969.00,1386.60
970.00,1388.00
971.00,1389.40
972.00,1390.80
973.00,1392.20
974.00,1393.60
975.00,1395.00
976.00,1396.40
977.00,1397.80
978.00,1399.20
979.00,1400.60
980.00,1402.00
981.00,1403.40
982.00,1404.80
983.00,1406.20
984.00,1407.60
985.00,1409.00
986.00,1410.40
987.00,1411.80
988.00,1413.20
989.00,1414.60
990.00,1416.00
991.00,1417.40
992.00,1418.80
993.00,1420.20
994.00,1421.60
995.00,1423.00
996.00,1424.40
997.00,1425.80
998.00,1427.20
999.00,1428.60
